"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD","type"
"TCGA.BR.7959.01",5.82906846643099,9.10667675103235,8.44276605951828,9.49490320469006,5.7336378132955,8.72151514248521,8.42085508768235,8.66529888088743,6.31163846991696,6.08593169584724,8.63945487161736,5.86991205937533,8.08661679917098,8.27910602650217,5.84428193587866,8.24164409490398,7.5768224673629,5.33412535849874,11.4495250805974,"Cancer"
"TCGA.BR.8058.01",5.81376031812618,8.29366660359057,8.6785524092857,9.67682239190125,5.94768151736136,8.44200073967293,8.34071795098978,8.99717233954592,6.87349086252523,4.73404962268838,9.51986037079375,6.24091124474103,7.99728127271777,8.5338197183148,5.59665935809712,8.40694410575199,6.36449870884917,5.44044688467524,11.776947987761,"Cancer"
"TCGA.BR.8059.01",6.06927778791147,9.08237290003479,8.53284756486472,9.56141370876565,6.35766321720589,8.58084399599647,7.55361777461887,8.8168012826781,6.58145905016111,5.55583420331383,8.97148265002514,6.00806977959804,7.5627827950262,8.73311889599344,5.34924251784066,7.44170177539063,7.65614033298184,5.35011882430398,8.26738917751825,"Cancer"
"TCGA.BR.8060.01",6.32398340921788,8.49912060281162,8.23008157858854,11.1299756204651,5.95800384535113,8.77160229912265,7.43546338946122,10.2657096532642,6.99314874123003,7.22853935912601,8.77769739770632,6.02821500002691,7.28805079157663,6.12414009598035,5.73317017596316,6.5119216340738,7.53159782445253,5.22189804447411,9.36630801997538,"Cancer"
"TCGA.BR.8077.01",6.10935013740891,8.14200235381274,8.6155938391622,10.8538309044463,5.78786482193037,9.55372479372763,8.77955166705235,10.1996673344715,7.75784565690003,3.43258944146304,8.71885110781604,5.88923923383204,8.77327580141564,8.54395698116581,5.30465985451612,5.84049334755655,5.82008930737731,5.28541428141202,13.0731292614368,"Cancer"
"TCGA.BR.8078.01",5.17307749400005,8.34999323898001,8.70554433798353,10.1137489668172,5.89157211963489,8.08117947823432,7.29490531552992,9.8161635889481,6.5165292897023,3.43666580950543,9.10628001740327,5.95874023904588,8.35605009648607,8.9943238358528,5.02210792670428,5.76490898964337,6.20599981092859,4.84137995652926,11.9597496177441,"Cancer"
"TCGA.BR.8080.01",5.69460567852458,9.07640558912969,8.48726127727052,9.94308861266514,5.80865130032164,8.52956048508288,8.30113334830727,8.98148772905489,6.65413974373637,5.8007032737457,8.55698179707743,6.07512839220269,6.53837765062408,7.94084018212966,5.71316709594457,8.55616919977994,7.51508897853781,5.38680131628236,9.76106271964907,"Cancer"
"TCGA.BR.8081.01",5.67971013009884,8.32506398839715,8.8623626430222,10.6244417787166,5.97524823763811,8.13162342600578,7.39998883460266,9.67692425295666,6.1834472270391,3.85828408912062,9.38831303018418,6.0817325874665,7.54251982584452,8.10198277799763,5.23007351893167,6.55899921622931,7.78874510195297,5.24264374602918,12.7912506488596,"Cancer"
"TCGA.BR.8284.01",6.04721140831176,8.69136235189545,8.89166955322124,10.4101669732444,6.16900056075152,8.28981582551557,7.9110846477013,9.62675423554067,6.74521213598656,4.83693659248412,9.62866329897614,6.06744630968684,8.12725552548496,8.93995729361798,5.31073059731889,7.61539503879977,6.37998878098823,5.38842447303977,10.5339311282035,"Cancer"
"TCGA.BR.8286.01",6.14399943884076,8.21805247005309,8.52652038057632,10.9970128654541,5.92444854632983,8.51846567788006,7.44072011565239,10.9173138218147,6.74291425234512,4.43735130303538,8.89929989439713,5.69049601010078,8.97461580772849,8.32555353714173,5.22688099467053,6.26225803412266,6.45938013382032,5.52506344328177,12.0845004409656,"Cancer"
"TCGA.BR.8289.01",6.57104122853859,8.7937322753154,8.20066791588581,10.9786279333282,5.70004464670096,9.25172449422319,7.16999881351412,9.41192710710967,7.48181658400634,4.90404282665682,8.91301726723825,6.00681348917243,6.10414868349176,8.54550391006185,5.39771666379523,6.99041601857102,7.97722087017835,5.21775013741309,6.4535743615048,"Cancer"
"TCGA.BR.8291.01",5.82478775116235,8.34531546534507,8.41286131420244,9.37962361358847,5.6936866435152,8.48493188658369,9.47946587171409,8.90325188143288,6.46045171388249,6.20288132272553,8.62255593216983,5.99579967706548,8.01203258812284,8.05778916987845,5.62038127251694,8.92952207386085,10.0107974695275,5.97252907808326,11.5506358624264,"Cancer"
"TCGA.BR.8295.01",6.35170994160224,8.17318648695311,9.24895060038549,11.7101870826683,5.56514023995641,9.35754569199847,6.41633457520922,11.2274622972838,7.40431131454035,3.29598180872209,9.9187867079693,5.57048957412326,9.065142020571,6.34532035119368,5.33569752237056,5.59954126285104,6.21667658450465,5.17251212060609,8.93914577983602,"Cancer"
"TCGA.BR.8296.01",6.25136564716701,8.40852988293221,8.57487773800631,10.6094936005165,5.80813201217619,9.00621381883911,7.403489527753,9.23714329944219,6.63892637234521,4.1481232963668,9.05532801570705,6.20048489480061,8.04793176440518,8.98100780752153,5.74459655117826,7.21897401607102,6.38366121277273,5.37497730345074,11.7911438186709,"Cancer"
"TCGA.BR.8297.01",5.74956201430746,9.62512929978827,8.4168371910413,10.2383991127187,5.7150565261307,8.41519382939986,8.11530844299013,9.10496016771203,6.32246890741121,8.53770480655009,9.22496418530837,6.18596111181453,7.16410053085044,7.85566657335087,5.16583391253406,7.37711943906873,8.57258077020996,5.52289057957193,10.1500621183558,"Cancer"
"TCGA.BR.8361.01",6.3600691242545,7.84415807808956,8.95889043066265,10.7086710209259,5.90546760279044,8.0760438003835,6.49392795822148,9.23868318559924,6.30392192412354,3.31648549009882,9.49427678151704,5.66405062083744,8.69873061932134,8.692967317742,6.02968988139039,5.63286025382079,5.45436284049739,5.26137230488476,12.0591702412091,"Cancer"
"TCGA.BR.8362.01",5.68616418755083,8.87970146857513,8.82128431327529,9.81015139953437,5.76197928311087,8.15789424617326,8.55431734054441,9.05344244055798,6.57556546796707,5.22710902531596,9.52287449771116,5.87113050036798,9.6916366010052,8.41335067926097,5.77819047141117,6.29738954465404,8.03939434556383,5.48122729136466,11.3358759835314,"Cancer"
"TCGA.BR.8363.01",6.03555321122101,8.46715897956748,8.81127911500227,10.7146493475304,6.01819396769195,8.35368670990297,7.2667458666132,10.1172954944699,6.15023069484986,4.59730942334847,9.10566290365129,6.22609853917415,8.20582312718903,6.94861683695486,5.2087940007392,6.1078588858857,6.3209080970382,5.14667838069487,12.1452877278584,"Cancer"
"TCGA.BR.8364.01",5.58594334391522,9.32745708775917,8.19584123558461,8.80914868710212,5.6830700273528,8.22956480148068,9.52794564671921,8.6358755560455,6.36788150042149,8.23145494603943,8.29511603305137,6.22486762787838,6.99866022630593,7.54467202652133,5.30097570070653,7.74440039615474,9.30030926091834,5.66250186180506,11.3551094143346,"Cancer"
"TCGA.BR.8365.01",5.6576767701463,9.43190500398055,8.55076739937255,9.3756854349514,5.80845528346991,7.9082459294891,8.61264186381389,8.65837190253427,6.12862917719909,9.09029946600376,8.84782140487518,6.27935877422547,6.05797509153993,7.51361871007008,5.24883403698846,7.52825814455895,8.8995682149748,5.59111517547914,10.185300628492,"Cancer"
"TCGA.BR.8366.01",5.31447075600463,8.92581256777702,8.33092301018739,10.2663238298818,5.84784778886413,8.27338416236648,7.62164034136577,9.16914021636824,6.51323083423701,4.3380905852205,8.90353486157101,6.23392302424466,8.66064128508135,8.77922586809002,5.23692003343186,7.73067112743899,6.85895747855966,5.25838428033593,12.796030101591,"Cancer"
"TCGA.BR.8367.01",5.81128303655128,8.97588194026818,8.67892849443708,9.09435194307786,6.03555044785458,8.28176891558376,8.16624066173448,8.81842254822145,6.7508261189237,8.2415821465408,9.38847642119718,5.89467118489485,6.49335288948347,8.30162256083452,5.17084765581192,6.80008443304569,7.96778957434807,5.69218140446612,8.16580403940978,"Cancer"
"TCGA.BR.8368.01",5.79654444531074,8.01248890931405,8.95462670533322,10.5328761057643,6.18048146682895,8.61485356944146,6.71790812037314,9.78874405187428,6.71082702458614,3.40579427375255,9.09746054609795,6.05767481654807,7.64628245350381,9.31992646665207,5.15219020333722,5.25647480058606,6.16863114104751,5.2663247909185,9.74699008298882,"Cancer"
"TCGA.BR.8369.01",5.80434929017305,9.27985527203646,8.41208277356895,10.1108414749218,5.82369052194234,9.07769724122558,7.39771846540876,8.9187471019318,7.16045236153064,6.76228011770864,8.94537776190086,6.00258907123481,6.89082131604857,8.84118971014396,5.37530304843082,6.40139349218554,8.72540513062954,5.31731323291062,8.67086798016741,"Cancer"
"TCGA.BR.8371.01",5.72609630516228,9.7000401271533,8.69163561126799,8.59580222285053,5.79310077817848,8.38726703849861,6.90271986654816,7.79320040914451,6.40436380721342,9.53534900196792,8.59806950955208,6.45300513852169,6.01891064422352,7.28188655513437,5.18828473707449,6.60743519254264,8.72302312068418,5.52352485163766,9.8135999584199,"Cancer"
"TCGA.BR.8372.01",5.33776846481178,7.92902267504063,9.08814775087198,11.3964510326696,6.31409018246691,7.76795379911834,6.84861242455589,10.4234995045107,6.94570510831775,4.21240679358103,9.88887541006903,5.94147393464967,8.41802639374173,8.14509918215357,5.16045616955802,5.69052258058168,5.5022250032545,5.20716900600422,12.3850736358339,"Cancer"
"TCGA.BR.8373.01",6.40778592244402,8.42194587655251,8.44210076956198,9.05506553554939,5.36961909221147,8.84998967391098,9.0337185452077,8.95829742006177,6.26073203569358,4.82261939074343,8.95912108359134,5.74438612531446,7.48631031092937,7.20661800311651,5.60059341461232,7.29481088737566,6.65903793797359,5.52319885003357,10.4060890932079,"Cancer"
"TCGA.BR.8380.01",5.6013494496583,9.5614080710973,8.74778799038817,8.8931393791706,6.07679281741707,8.18196282548294,8.37169101928595,8.44546285684822,6.4085096792103,9.02957357387239,8.56550833147698,6.15477620427451,6.35951264659902,7.34598788881733,5.18391950550934,7.84730891232736,7.86481731380101,5.4470595953626,8.38600185970997,"Cancer"
"TCGA.BR.8381.01",5.26129874128174,8.21216068587352,8.74690704634415,10.8151723761336,6.15748853268381,8.79665445438106,7.47207520288475,9.36745431804972,6.74955547656752,3.57215966288237,9.39239158475847,6.11928703854412,8.8509474109563,8.61556089451904,5.23868727217751,7.14098958851944,6.4591177397314,5.33837433898444,12.625461282459,"Cancer"
"TCGA.BR.8382.01",5.65281922969532,8.75619208822564,8.78488449230298,10.2730052064421,6.09878734474479,7.97968121524211,7.19284310963142,9.41060833768442,6.44177292628876,3.94873190078754,9.28101358197768,5.86778057624893,7.90570361419989,8.04209504585999,5.01058964194029,6.84693345964755,7.37639335010538,5.26210732042757,12.9941431379464,"Cancer"
"TCGA.BR.8384.01",5.57049247537295,9.55538597213016,8.42527100929235,8.38395102178556,5.81865838739223,8.08522942308063,8.65243823975026,7.75919079284333,6.3646257913845,9.1336398647928,8.79544697675274,6.28540332071823,6.38230658608533,7.26670120317908,5.00223117576133,7.74651988316241,10.1510446742722,5.6721281524261,9.50724396480312,"Cancer"
"TCGA.BR.8483.01",5.99709036589846,8.25717063757192,8.69417671501565,10.6338660148597,5.71381921119487,9.8202149590161,8.37791081459886,9.75353084176198,7.41396317927057,4.0750707855318,7.40393049110434,5.82676920385593,7.9330732161337,9.57616299571957,5.69325231818766,5.67473076311418,6.23617893884539,5.30875755782986,10.1247991212324,"Cancer"
"TCGA.BR.8484.01",5.58147877152149,8.16856848913042,8.94324624378654,10.0334718200727,5.7419644244337,9.03289190468122,7.66033389971038,9.54788390530846,6.95656851315671,4.05034235496108,9.52927736170189,5.81778168990325,8.45936607526401,8.99863953532621,5.37353345137192,7.20718469842668,6.24126972215334,5.3075388926328,12.1788685364739,"Cancer"
"TCGA.BR.8485.01",6.18759094196998,8.36895636608642,8.80838107088293,10.5227253497252,5.91455960837211,9.57625343159674,8.04865032152561,9.34723508929129,7.00792278724001,4.80264400956713,9.28857081685567,5.78358575845228,7.76920974890121,7.12867996675015,5.69069574183335,7.07251951661538,6.93090682927773,5.33115866957698,10.3655286618217,"Cancer"
