"Fold","Model","Dataset","Metric","Value"
"Fold_2","lasso","ffpe","Brier",0.34745215450912
"Fold_2","glmnet","ffpe","Accuracy",0.837209302325581
"Fold_2","glmnet","ffpe","Accuracy_lower",0.69298912763509
"Fold_2","glmnet","ffpe","Accuracy_upper",0.931947905538531
"Fold_2","glmnet","ffpe","BalancedAccuracy",0.734210526315789
"Fold_2","glmnet","ffpe","Kappa",0.37160751565762
"Fold_2","glmnet","ffpe","Sensitivity",0.868421052631579
"Fold_2","glmnet","ffpe","Specificity",0.6
"Fold_2","glmnet","ffpe","AUC",0.868421052631579
"Fold_2","glmnet","ffpe","AUC_CI_Lower",0.728776342723173
"Fold_2","glmnet","ffpe","AUC_CI_Upper",1
"Fold_2","glmnet","ffpe","Brier",0.288544280987569
"Fold_2","rf","ffpe","Accuracy",0.790697674418605
"Fold_2","rf","ffpe","Accuracy_lower",0.639575247905833
"Fold_2","rf","ffpe","Accuracy_upper",0.89955885332207
"Fold_2","rf","ffpe","BalancedAccuracy",0.621052631578947
"Fold_2","rf","ffpe","Kappa",0.192066805845511
"Fold_2","rf","ffpe","Sensitivity",0.842105263157895
"Fold_2","rf","ffpe","Specificity",0.4
"Fold_2","rf","ffpe","AUC",0.805263157894737
"Fold_2","rf","ffpe","AUC_CI_Lower",0.644440985334422
"Fold_2","rf","ffpe","AUC_CI_Upper",0.966085330455052
"Fold_2","rf","ffpe","Brier",0.280614139534884
"Fold_2","lasso","organoid","Accuracy",0.823529411764706
"Fold_2","lasso","organoid","Accuracy_lower",0.565682127155716
"Fold_2","lasso","organoid","Accuracy_upper",0.962014931929374
"Fold_2","lasso","organoid","BalancedAccuracy",0.7
"Fold_2","lasso","organoid","Kappa",0.484848484848485
"Fold_2","lasso","organoid","Sensitivity",1
"Fold_2","lasso","organoid","Specificity",0.4
"Fold_2","lasso","organoid","AUC",0.733333333333333
"Fold_2","lasso","organoid","AUC_CI_Lower",0.459231961508874
"Fold_2","lasso","organoid","AUC_CI_Upper",1
"Fold_2","lasso","organoid","Brier",0.357720969215493
"Fold_2","glmnet","organoid","Accuracy",0.705882352941177
"Fold_2","glmnet","organoid","Accuracy_lower",0.440417281245663
"Fold_2","glmnet","organoid","Accuracy_upper",0.89686448562968
"Fold_2","glmnet","organoid","BalancedAccuracy",0.616666666666667
"Fold_2","glmnet","organoid","Kappa",0.247787610619469
"Fold_2","glmnet","organoid","Sensitivity",0.833333333333333
"Fold_2","glmnet","organoid","Specificity",0.4
"Fold_2","glmnet","organoid","AUC",0.733333333333333
"Fold_2","glmnet","organoid","AUC_CI_Lower",0.481455834411777
"Fold_2","glmnet","organoid","AUC_CI_Upper",0.98521083225489
"Fold_2","glmnet","organoid","Brier",0.480107459845371
"Fold_2","rf","organoid","Accuracy",0.764705882352941
"Fold_2","rf","organoid","Accuracy_lower",0.50100672679542
"Fold_2","rf","organoid","Accuracy_upper",0.931892259562643
"Fold_2","rf","organoid","BalancedAccuracy",0.6
"Fold_2","rf","organoid","Kappa",0.260869565217391
"Fold_2","rf","organoid","Sensitivity",1
"Fold_2","rf","organoid","Specificity",0.2
"Fold_2","rf","organoid","AUC",0.55
"Fold_2","rf","organoid","AUC_CI_Lower",0.186713071994803
"Fold_2","rf","organoid","AUC_CI_Upper",0.913286928005197
"Fold_2","rf","organoid","Brier",0.475611764705882
"Fold_3","lasso","Internal","Accuracy",0.9625
"Fold_3","lasso","Internal","Accuracy_lower",0.894298014983491
"Fold_3","lasso","Internal","Accuracy_upper",0.992198812734283
"Fold_3","lasso","Internal","BalancedAccuracy",0.941666666666667
"Fold_3","lasso","Internal","Kappa",0.898305084745763
"Fold_3","lasso","Internal","Sensitivity",0.983333333333333
"Fold_3","lasso","Internal","Specificity",0.9
"Fold_3","lasso","Internal","AUC",0.995833333333333
"Fold_3","lasso","Internal","AUC_CI_Lower",0.988356709220208
"Fold_3","lasso","Internal","AUC_CI_Upper",1
"Fold_3","lasso","Internal","Brier",0.0484742220311639
"Fold_3","glmnet","Internal","Accuracy",0.9625
"Fold_3","glmnet","Internal","Accuracy_lower",0.894298014983491
"Fold_3","glmnet","Internal","Accuracy_upper",0.992198812734283
"Fold_3","glmnet","Internal","BalancedAccuracy",0.941666666666667
"Fold_3","glmnet","Internal","Kappa",0.898305084745763
"Fold_3","glmnet","Internal","Sensitivity",0.983333333333333
"Fold_3","glmnet","Internal","Specificity",0.9
"Fold_3","glmnet","Internal","AUC",0.995833333333333
"Fold_3","glmnet","Internal","AUC_CI_Lower",0.988356709220208
"Fold_3","glmnet","Internal","AUC_CI_Upper",1
"Fold_3","glmnet","Internal","Brier",0.0472059678950111
"Fold_3","rf","Internal","Accuracy",0.9625
"Fold_3","rf","Internal","Accuracy_lower",0.894298014983491
"Fold_3","rf","Internal","Accuracy_upper",0.992198812734283
"Fold_3","rf","Internal","BalancedAccuracy",0.941666666666667
"Fold_3","rf","Internal","Kappa",0.898305084745763
"Fold_3","rf","Internal","Sensitivity",0.983333333333333
"Fold_3","rf","Internal","Specificity",0.9
"Fold_3","rf","Internal","AUC",0.9925
"Fold_3","rf","Internal","AUC_CI_Lower",0.980906379723439
"Fold_3","rf","Internal","AUC_CI_Upper",1
"Fold_3","rf","Internal","Brier",0.0743633
"Fold_3","lasso","ffpe","Accuracy",0.744186046511628
"Fold_3","lasso","ffpe","Accuracy_lower",0.58828427891514
"Fold_3","lasso","ffpe","Accuracy_upper",0.864814049711469
"Fold_3","lasso","ffpe","BalancedAccuracy",0.681578947368421
"Fold_3","lasso","ffpe","Kappa",0.225859247135843
"Fold_3","lasso","ffpe","Sensitivity",0.763157894736842
"Fold_3","lasso","ffpe","Specificity",0.6
"Fold_3","lasso","ffpe","AUC",0.852631578947368
"Fold_3","lasso","ffpe","AUC_CI_Lower",0.695289546001027
"Fold_3","lasso","ffpe","AUC_CI_Upper",1
"Fold_3","lasso","ffpe","Brier",0.403845547679587
"Fold_3","glmnet","ffpe","Accuracy",0.744186046511628
"Fold_3","glmnet","ffpe","Accuracy_lower",0.58828427891514
"Fold_3","glmnet","ffpe","Accuracy_upper",0.864814049711469
"Fold_3","glmnet","ffpe","BalancedAccuracy",0.681578947368421
"Fold_3","glmnet","ffpe","Kappa",0.225859247135843
"Fold_3","glmnet","ffpe","Sensitivity",0.763157894736842
"Fold_3","glmnet","ffpe","Specificity",0.6
"Fold_3","glmnet","ffpe","AUC",0.852631578947368
"Fold_3","glmnet","ffpe","AUC_CI_Lower",0.695289546001027
"Fold_3","glmnet","ffpe","AUC_CI_Upper",1
"Fold_3","glmnet","ffpe","Brier",0.41180059297356
"Fold_3","rf","ffpe","Accuracy",0.813953488372093
"Fold_3","rf","ffpe","Accuracy_lower",0.665985532757587
"Fold_3","rf","ffpe","Accuracy_upper",0.916087600224406
"Fold_3","rf","ffpe","BalancedAccuracy",0.63421052631579
"Fold_3","rf","ffpe","Kappa",0.228699551569507
"Fold_3","rf","ffpe","Sensitivity",0.868421052631579
"Fold_3","rf","ffpe","Specificity",0.4
"Fold_3","rf","ffpe","AUC",0.797368421052632
"Fold_3","rf","ffpe","AUC_CI_Lower",0.609376733171408
"Fold_3","rf","ffpe","AUC_CI_Upper",0.985360108933855
"Fold_3","rf","ffpe","Brier",0.232669023255814
"Fold_3","lasso","organoid","Accuracy",0.647058823529412
"Fold_3","lasso","organoid","Accuracy_lower",0.383283663443403
"Fold_3","lasso","organoid","Accuracy_upper",0.857902516889779
"Fold_3","lasso","organoid","BalancedAccuracy",0.575
"Fold_3","lasso","organoid","Kappa",0.15
"Fold_3","lasso","organoid","Sensitivity",0.75
"Fold_3","lasso","organoid","Specificity",0.4
