"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD"
"TCGA.IN.8663.11",5.95370800509546,7.86759684980238,8.84502780798042,9.41555607973781,5.60029146345494,7.89010989458457,6.01558753879075,9.0985686215822,5.97078366943504,8.55902294632536,7.44449393357768,5.70839726937806,4.69348430157854,6.42036478804468,5.15476714689218,9.27798109300389,7.23677003481947,5.28057342622763,5.95474238014715
"TCGA.IN.AB1V.11",6.06173970456064,8.9797213948664,8.80865671186531,8.80691707161106,5.34289722986018,7.97181279189266,6.59443368776771,8.04985312301809,5.92273118784848,9.79951260743102,8.34582470863033,6.00413561073556,4.73981367972897,6.33560098729504,5.28822873468245,8.65566216291976,9.23091448880641,5.40499697197936,5.67469547142036
"TCGA.IN.AB1X.11",5.93297040205605,8.09722431408546,8.84613256699707,9.03447113315263,5.53133974712368,8.00764160063642,6.4074790634647,8.75340757675896,6.08670744945397,9.34744157810127,7.47224606643738,6.07027254041992,5.01221211969696,6.07808631202059,5.52503139890949,9.42911695652705,9.80112691028853,5.41343228875276,5.61189456567072
"TCGA.IP.7968.11",5.76413062690107,8.6292033284168,8.67551996842958,9.11534169919846,5.74179788475263,7.8896564316583,7.12890027327543,8.66397137514247,5.7623518434834,9.44645142153705,7.41829566416155,6.03839614167337,4.88191297317867,8.26497062667696,5.55319481382714,8.86532581384075,9.78113188732902,4.92251440265949,7.10426406568639
"TCGA.3M.AB46.01",5.86691071189602,7.83351123453059,8.08787241446921,11.8730590407642,5.36599922838845,9.30209566537488,7.08856245806367,10.6566209772132,7.39025574714827,3.6770277027867,8.05334257007697,5.735014163757,7.98132905513787,8.89622978514765,5.15082546219009,7.0814810803585,6.302191431131,5.15992392108394,10.3949828468269
"TCGA.3M.AB47.01",5.34930742462525,8.31384750316684,8.8781968982247,9.40669117812467,5.9481938074014,8.13267618499632,8.43572620243155,8.86685386049129,6.36041037665682,5.04235887954623,9.73558727646194,6.04607424208935,5.87168853406399,8.37970833612852,5.03596264800457,8.57682848326859,9.32252937598876,5.79127854017866,8.04053890809197
"TCGA.B7.5816.01",5.56594890735737,9.16696932559524,8.7322130242266,9.80677168046283,5.64444476662695,8.14859186294699,7.74256274991474,9.3163139717545,6.59836322405654,3.6770277027867,8.54804088290335,5.94174822455369,7.90768595163836,8.60647021820066,5.47816573276855,6.67916812499289,8.75762683003116,4.48840006565559,11.0163902737106
"TCGA.B7.5818.01",5.03789097566258,8.13747003710164,8.26166872457556,10.2135492077156,5.69912419996132,8.17327233089225,6.40239749174884,9.35604125955214,6.67607728479143,3.18533493754885,7.49239653792735,5.87163431901823,6.98196418512125,7.49097322665012,5.10357470235464,5.70305634798663,4.50672693360395,4.89807373952991,11.1485463788747
"TCGA.B7.A5TI.01",6.37811691195927,8.07894849862963,8.51265744714194,10.5867276422517,5.93125518196613,7.81398892912954,7.54214367937072,10.0031806603631,6.81846866268035,3.9095753655821,8.39311125103167,5.71015658321819,6.87645307230264,7.9715306996252,5.12300455027722,6.7392635260205,7.18694981005913,5.24301471434644,10.0961718294933
"TCGA.B7.A5TJ.01",6.22533340435392,8.82383226019502,8.52324330232193,10.2225840389863,5.73796323056695,9.24157716789007,7.85401045403881,9.48916919897687,7.174670791696,4.19041192434881,8.47620800367548,5.57003096498314,7.57963632402646,8.96265105159593,5.82719292886642,6.46641273492993,5.61395149411411,5.13038214920462,8.54093891957156
