"","commongenes"
"125","ADAM10"
"126","ADAM15"
"127","ADAM17"
"128","ADAM33"
"129","ADAM8"
"130","ADAM9"
"131","ADAMTS1"
"132","ADAMTS2"
"133","ADAMTS4"
"134","ADAMTSL3"
"135","ADAMTSL5"
"136","ADAP1"
"137","ADAP2"
"138","ADAT1"
"139","ADAT2"
"140","ADAT3"
"141","ADCK2"
"142","ADCK5"
"143","ADCY3"
"144","ADCY4"
"145","ADCY6"
"146","ADCY7"
"147","ADD1"
"148","ADGRA2"
"149","ADGRD1"
"150","ADGRE2"
"151","ADGRE5"
"152","ADGRF5"
"153","ADGRG5"
"154","ADGRL1"
"155","ADGRL2"
"156","ADH5"
"157","ADHFE1"
"158","ADI1"
"159","ADIPOR1"
"160","ADIPOR2"
"161","ADIRF"
"162","ADK"
"163","ADM"
"164","ADM2"
"165","ADNP"
"166","ADNP2"
"167","ADO"
"168","ADORA2A"
"169","ADPGK"
"170","ADPRH"
"171","ADPRHL1"
"172","ADPRM"
"173","ADPRS"
"174","ADRA2A"
"175","ADRB2"
"176","ADRM1"
"177","ADSL"
"178","ADSS1"
"179","ADSS2"
"180","ADTRP"
"181","AEBP1"
"182","AEBP2"
"183","AEN"
"184","AFAP1"
"185","AFAP1L1"
"186","AFAP1L2"
"187","AFF1"
"188","AFF4"
"189","AFG3L1P"
"190","AFG3L2"
"191","AFMID"
"192","AFTPH"
"193","AGA"
"194","AGAP1"
"195","AGAP3"
"196","AGAP4"
"197","AGBL5"
"198","AGFG1"
"199","AGFG2"
"200","AGGF1"
"201","AGK"
"202","AGL"
"203","AGMAT"
"204","AGO1"
"205","AGO2"
"206","AGO3"
"207","AGO4"
"208","AGPAT1"
"209","AGPAT2"
"210","AGPAT3"
"211","AGPAT4"
"212","AGPAT5"
"213","AGPS"
"214","AGR2"
"215","AGRN"
"216","AGT"
"217","AGTPBP1"
"218","AGTRAP"
"219","AHCY"
"220","AHCYL1"
"221","AHCYL2"
"222","AHDC1"
"223","AHI1"
"224","AHNAK"
"225","AHR"
"226","AHSA1"
"227","AHSA2P"
"228","AIF1"
"229","AIF1L"
"230","AIFM1"
"231","AIG1"
"232","AIM2"
"233","AIMP2"
"234","AIP"
"235","AJUBA"
"236","AK2"
"237","AK3"
"238","AKAP1"
"239","AKAP10"
"240","AKAP11"
"241","AKAP12"
"242","AKAP13"
"243","AKAP17A"
"244","AKAP8"
"245","AKAP8L"
"246","AKAP9"
"247","AKIRIN1"
"248","AKIRIN2"
"249","AKNA"
"250","AKR1A1"
"251","AKR1B1"
"252","AKR1C2"
"253","AKR1C3"
"254","AKR7A2"
"255","AKR7A3"
"256","AKT1"
"257","AKT3"
"258","AKTIP"
"259","ALAS1"
"260","ALCAM"
"261","ALDH16A1"
"262","ALDH1A1"
"263","ALDH1A3"
"264","ALDH1B1"
"265","ALDH2"
"266","ALDH3A1"
"267","ALDH3A2"
"268","ALDH4A1"
"269","ALDH5A1"
"270","ALDH7A1"
"271","ALDH9A1"
"272","ALDOA"
"273","ALDOC"
"274","ALG1"
"275","ALG11"
"276","ALG13"
"277","ALG14"
"278","ALG2"
"279","ALG3"
"280","ALG5"
"281","ALG8"
"282","ALG9"
"283","ALKBH1"
"284","ALKBH2"
"285","ALKBH3"
"286","ALKBH4"
"287","ALKBH5"
"288","ALKBH7"
"289","ALKBH8"
"290","ALMS1"
"291","ALOX5AP"
"292","ALS2"
"293","ALYREF"
"294","AMACR"
"295","AMBRA1"
"296","AMD1"
"297","AMDHD2"
"298","AMFR"
"299","AMIGO1"
