"","commongenes"
"1367","CES4A"
"1368","CETN2"
"1369","CFAP20"
"1370","CFAP36"
"1371","CFAP410"
"1372","CFAP44"
"1373","CFB"
"1374","CFD"
"1375","CFDP1"
"1376","CFH"
"1377","CFI"
"1378","CFL1"
"1379","CFLAR"
"1380","CFP"
"1381","CGGBP1"
"1382","CGN"
"1383","CGNL1"
"1384","CGREF1"
"1385","CH25H"
"1386","CHAC1"
"1387","CHAC2"
"1388","CHAF1A"
"1389","CHAF1B"
"1390","CHAMP1"
"1391","CHCHD1"
"1392","CHCHD10"
"1393","CHCHD2"
"1394","CHCHD3"
"1395","CHCHD4"
"1396","CHCHD5"
"1397","CHCHD6"
"1398","CHCHD7"
"1399","CHD1"
"1400","CHD1L"
"1401","CHD4"
"1402","CHD7"
"1403","CHD8"
"1404","CHD9"
"1405","CHDH"
"1406","CHEK1"
"1407","CHERP"
"1408","CHFR"
"1409","CHGA"
"1410","CHIC2"
"1411","CHID1"
"1412","CHKA"
"1413","CHKB"
"1414","CHM"
"1415","CHMP1A"
"1416","CHMP1B"
"1417","CHMP2A"
"1418","CHMP2B"
"1419","CHMP3"
"1420","CHMP4A"
"1421","CHMP4B"
"1422","CHMP5"
"1423","CHMP6"
"1424","CHMP7"
"1425","CHN1"
"1426","CHN2"
"1427","CHORDC1"
"1428","CHP1"
"1429","CHPF"
"1430","CHPF2"
"1431","CHPT1"
"1432","CHRAC1"
"1433","CHRD"
"1434","CHRDL1"
"1435","CHRFAM7A"
"1436","CHRNA7"
"1437","CHRNB1"
"1438","CHST1"
"1439","CHST10"
"1440","CHST12"
"1441","CHST13"
"1442","CHST14"
"1443","CHST15"
"1444","CHST3"
"1445","CHST5"
"1446","CHST6"
"1447","CHST7"
"1448","CHSY1"
"1449","CHSY3"
"1450","CHTF18"
"1451","CHTF8"
"1452","CHTOP"
"1453","CHUK"
"1454","CHURC1"
"1455","CIAO1"
"1456","CIAO2A"
"1457","CIAO2B"
"1458","CIAO3"
"1459","CIAPIN1"
"1460","CIB1"
"1461","CIB2"
"1462","CIC"
"1463","CIDEB"
"1464","CIDEC"
"1465","CILP"
"1466","CIP2A"
"1467","CIPC"
"1468","CIR1"
"1469","CIRBP"
"1470","CISD1"
"1471","CISD2"
"1472","CISH"
"1473","CIT"
"1474","CITED1"
"1475","CITED2"
"1476","CITED4"
"1477","CIZ1"
"1478","CKAP2"
"1479","CKAP2L"
"1480","CKAP4"
"1481","CKAP5"
"1482","CKB"
"1483","CKLF"
"1484","CKS1B"
"1485","CKS2"
"1486","CLASP1"
"1487","CLASP2"
"1488","CLASRP"
"1489","CLBA1"
"1490","CLCC1"
"1491","CLCF1"
"1492","CLCN2"
"1493","CLCN3"
"1494","CLCN5"
"1495","CLCN6"
"1496","CLCN7"
"1497","CLDN12"
"1498","CLDN15"
"1499","CLDN18"
"1500","CLDN2"
"1501","CLDN23"
"1502","CLDN3"
"1503","CLDN4"
"1504","CLDN5"
"1505","CLDN7"
"1506","CLDND1"
"1507","CLEC10A"
"1508","CLEC11A"
"1509","CLEC14A"
"1510","CLEC16A"
"1511","CLEC2B"
"1512","CLEC3B"
"1513","CLEC4A"
"1514","CLIC1"
"1515","CLIC2"
"1516","CLIC3"
"1517","CLIC4"
"1518","CLIC6"
"1519","CLINT1"
"1520","CLIP2"
"1521","CLIP3"
"1522","CLIP4"
"1523","CLK1"
"1524","CLK2"
"1525","CLK3"
"1526","CLMN"
"1527","CLMP"
"1528","CLN3"
"1529","CLN5"
"1530","CLNS1A"
"1531","CLOCK"
"1532","CLP1"
"1533","CLPP"
"1534","CLPTM1"
"1535","CLPTM1L"
"1536","CLPX"
"1537","CLSTN1"
"1538","CLSTN3"
"1539","CLTB"
"1540","CLTC"
"1541","CLUAP1"
"1542","CLUH"
"1543","CMAS"
"1544","CMBL"
"1545","CMC1"
"1546","CMC2"
"1547","CMKLR1"
"1548","CMPK1"
"1549","CMSS1"
"1550","CMTM3"
"1551","CMTM4"
"1552","CMTM7"
"1553","CMTM8"
"1554","CMTR2"
"1555","CNBP"
"1556","CNDP2"
"1557","CNEP1R1"
"1558","CNFN"
"1559","CNIH1"
"1560","CNIH4"
"1561","CNKSR1"
"1562","CNN2"
"1563","CNN3"
"1564","CNNM1"
"1565","CNNM2"
"1566","CNNM3"
"1567","CNNM4"
"1568","CNOT1"
"1569","CNOT10"
"1570","CNOT11"
"1571","CNOT2"
"1572","CNOT6"
"1573","CNOT7"
"1574","CNOT8"
"1575","CNOT9"
"1576","CNPPD1"
"1577","CNPY2"
"1578","CNPY3"
"1579","CNST"
"1580","CNTNAP1"
"1581","CNTRL"
"1582","CNTROB"
"1583","COA1"
"1584","COA3"
"1585","COA4"
"1586","COA5"
"1587","COA6"
"1588","COA7"
"1589","COA8"
"1590","COASY"
"1591","COBL"
"1592","COBLL1"
"1593","COG1"
"1594","COG2"
"1595","COG3"
"1596","COG4"
"1597","COG5"
"1598","COG6"
"1599","COG7"
"1600","COG8"
"1601","COIL"
"1602","COL11A1"
"1603","COL12A1"
"1604","COL15A1"
"1605","COL16A1"
"1606","COL17A1"
"1607","COL1A1"
"1608","COL1A2"
"1609","COL27A1"
"1610","COL3A1"
"1611","COL4A1"
"1612","COL4A2"
"1613","COL4A5"
"1614","COL5A1"
"1615","COL5A2"
"1616","COL5A3"
"1617","COL6A1"
"1618","COL6A2"
"1619","COL6A3"
"1620","COL7A1"
"1621","COL8A1"
"1622","COL9A3"
"1623","COLCA1"
"1624","COLEC11"
"1625","COLGALT1"
"1626","COMMD1"
"1627","COMMD2"
"1628","COMMD3"
"1629","COMMD5"
"1630","COMMD7"
"1631","COMMD9"
"1632","COMP"
"1633","COMT"
"1634","COMTD1"
"1635","COP1"
"1636","COPA"
"1637","COPB1"
"1638","COPB2"
"1639","COPE"
"1640","COPG1"
"1641","COPRS"
"1642","COPS3"
"1643","COPS4"
"1644","COPS5"
"1645","COPS6"
"1646","COPS7A"
"1647","COPS7B"
"1648","COPZ1"
"1649","COPZ2"
"1650","COQ10B"
"1651","COQ5"
"1652","COQ6"
"1653","COQ7"
"1654","COQ8A"
"1655","COQ9"
"1656","CORO1A"
"1657","CORO1B"
"1658","CORO1C"
"1659","CORO7"
"1660","COTL1"
"1661","COX10"
"1662","COX11"
"1663","COX14"
"1664","COX15"
"1665","COX16"
"1666","COX17"
"1667","COX18"
"1668","COX19"
"1669","COX20"
"1670","COX4I1"
"1671","COX5A"
"1672","COX5B"
"1673","COX6A1"
"1674","COX6B1"
"1675","COX6C"
"1676","COX7A1"
"1677","COX7A2"
"1678","COX7B"
"1679","COX7C"
"1680","COX8A"
"1681","CPA3"
"1682","CPD"
"1683","CPE"
"1684","CPEB4"
"1685","CPED1"
"1686","CPLANE2"
"1687","CPLX1"
"1688","CPM"
"1689","CPNE1"
"1690","CPNE3"
"1691","CPNE5"
"1692","CPNE6"
"1693","CPPED1"
"1694","CPS1"
"1695","CPSF1"
"1696","CPSF2"
"1697","CPSF3"
"1698","CPSF4"
"1699","CPSF6"
"1700","CPT1A"
"1701","CPT1C"
"1702","CPT2"
"1703","CPTP"
"1704","CPVL"
"1705","CPXM1"
"1706","CPXM2"
"1707","CRABP2"
"1708","CRACDL"
"1709","CRACR2B"
"1710","CRADD"
"1711","CRAT"
"1712","CRB3"
"1713","CRBN"
"1714","CRCP"
"1715","CREB3"
"1716","CREB3L1"
"1717","CREB3L2"
"1718","CREB3L4"
"1719","CREBBP"
"1720","CREBRF"
"1721","CREBZF"
"1722","CREG1"
"1723","CRELD1"
"1724","CRELD2"
"1725","CRIM1"
"1726","CRIP1"
"1727","CRIP2"
"1728","CRIPT"
"1729","CRISPLD2"
"1730","CRK"
"1731","CRKL"
"1732","CRLS1"
"1733","CRNKL1"
"1734","CROT"
"1735","CRTAP"
"1736","CRTC1"
"1737","CRTC2"
"1738","CRY1"
"1739","CRY2"
"1740","CRYAB"
"1741","CRYBB2"
"1742","CRYBG1"
"1743","CRYL1"
"1744","CRYZL1"
"1745","CS"
"1746","CSAD"
"1747","CSDE1"
"1748","CSE1L"
"1749","CSF1"
"1750","CSF1R"
"1751","CSF2RA"
"1752","CSF2RB"
"1753","CSF3"
"1754","CSF3R"
"1755","CSGALNACT2"
"1756","CSK"
"1757","CSNK1A1"
"1758","CSNK1D"
"1759","CSNK1E"
"1760","CSNK1G1"
"1761","CSNK1G2"
"1762","CSNK1G3"
"1763","CSNK2A1"
"1764","CSNK2A2"
"1765","CSNK2B"
"1766","CSPG4"
"1767","CSPG5"
"1768","CSPP1"
"1769","CSRNP1"
"1770","CSRNP2"
"1771","CSRP1"
"1772","CSRP2"
"1773","CST3"
"1774","CST7"
"1775","CSTA"
"1776","CSTB"
"1777","CSTF1"
"1778","CSTF2"
"1779","CSTF3"
"1780","CTAGE15"
"1781","CTBP1"
"1782","CTBP1-DT"
"1783","CTBP2"
"1784","CTBS"
"1785","CTC1"
"1786","CTCF"
"1787","CTDNEP1"
"1788","CTDP1"
"1789","CTDSP1"
"1790","CTDSP2"
"1791","CTDSPL"
"1792","CTDSPL2"
"1793","CTF1"
"1794","CTH"
"1795","CTHRC1"
"1796","CTIF"
"1797","CTNNA1"
"1798","CTNNAL1"
"1799","CTNNB1"
"1800","CTNNBIP1"
"1801","CTNNBL1"
"1802","CTNS"
"1803","CTR9"
"1804","CTSA"
"1805","CTSB"
"1806","CTSC"
"1807","CTSD"
"1808","CTSE"
"1809","CTSF"
"1810","CTSG"
"1811","CTSH"
"1812","CTSK"
"1813","CTSL"
"1814","CTSO"
"1815","CTSS"
"1816","CTSV"
"1817","CTSW"
"1818","CTSZ"
"1819","CTTN"
"1820","CTTNBP2NL"
"1821","CUEDC1"
"1822","CUEDC2"
"1823","CUL1"
"1824","CUL2"
"1825","CUL4B"
"1826","CUL5"
"1827","CUL7"
"1828","CUL9"
"1829","CUTA"
"1830","CUTC"
"1831","CUX1"
"1832","CWC15"
"1833","CWC22"
"1834","CWC25"
"1835","CWC27"
"1836","CWF19L1"
"1837","CWF19L2"
"1838","CX3CL1"
"1839","CXCL1"
"1840","CXCL10"
"1841","CXCL12"
"1842","CXCL13"
"1843","CXCL14"
"1844","CXCL16"
"1845","CXCL17"
"1846","CXCL2"
"1847","CXCL5"
"1848","CXCL6"
"1849","CXCL8"
"1850","CXCR2"
"1851","CXCR3"
"1852","CXCR6"
"1853","CXorf38"
"1854","CXorf56"
"1855","CXXC1"
"1856","CXXC5"
"1857","CYB561"
"1858","CYB561A3"
"1859","CYB561D2"
"1860","CYB5A"
"1861","CYB5B"
"1862","CYB5D1"
"1863","CYB5D2"
"1864","CYB5R1"
"1865","CYB5R2"
"1866","CYB5R3"
"1867","CYB5R4"
"1868","CYBA"
"1869","CYBC1"
"1870","CYBRD1"
"1871","CYC1"
"1872","CYCS"
"1873","CYFIP1"
"1874","CYFIP2"
"1875","CYGB"
"1876","CYHR1"
"1877","CYP1B1"
"1878","CYP21A2"
"1879","CYP26B1"
"1880","CYP27A1"
"1881","CYP2D6"
"1882","CYP2J2"
"1883","CYP2R1"
"1884","CYP2S1"
"1885","CYP3A5"
"1886","CYP4F12"
"1887","CYP4V2"
"1888","CYP4X1"
"1889","CYP51A1"
"1890","CYREN"
"1891","CYRIB"
"1892","CYSRT1"
"1893","CYSTM1"
"1894","CYTH1"
"1895","CYTH2"
"1896","CYTH3"
"1897","CYTH4"
"1898","CYTOR"
"1899","CYYR1"
"1900","CZIB"
"1901","DAAM1"
"1902","DAAM2"
"1903","DAB2"
"1904","DACH1"
"1905","DACT1"
"1906","DACT3"
"1907","DAD1"
"1908","DAG1"
"1909","DAGLA"
"1910","DAGLB"
"1911","DALRD3"
"1912","DAP"
"1913","DAP3"
"1914","DAPK1"
"1915","DAPK2"
"1916","DAPP1"
"1917","DARS1"
"1918","DARS2"
"1919","DAXX"
"1920","DAZAP1"
"1921","DAZAP2"
"1922","DBI"
"1923","DBN1"
"1924","DBNDD1"
"1925","DBNDD2"
"1926","DBNL"
"1927","DBP"
"1928","DBR1"
"1929","DBT"
"1930","DCAF1"
"1931","DCAF11"
"1932","DCAF12"
"1933","DCAF16"
"1934","DCAF17"
"1935","DCAF4"
"1936","DCAF5"
"1937","DCAF6"
"1938","DCAF7"
"1939","DCBLD1"
"1940","DCBLD2"
"1941","DCHS1"
"1942","DCK"
"1943","DCLRE1C"
"1944","DCN"
"1945","DCP1A"
"1946","DCP1B"
"1947","DCP2"
"1948","DCPS"
"1949","DCTD"
"1950","DCTN1"
"1951","DCTN2"
"1952","DCTN3"
"1953","DCTN4"
"1954","DCTN5"
"1955","DCTN6"
"1956","DCTPP1"
"1957","DCUN1D2"
"1958","DCUN1D3"
"1959","DCUN1D4"
"1960","DCUN1D5"
"1961","DCXR"
"1962","DDA1"
"1963","DDAH1"
"1964","DDAH2"
"1965","DDB1"
"1966","DDB2"
"1967","DDC"
"1968","DDHD1"
"1969","DDHD2"
"1970","DDI2"
"1971","DDIAS"
"1972","DDIT3"
"1973","DDIT4"
"1974","DDOST"
"1975","DDR1"
"1976","DDRGK1"
"1977","DDT"
"1978","DDX1"
"1979","DDX10"
"1980","DDX11"
"1981","DDX17"
"1982","DDX18"
"1983","DDX19A"
"1984","DDX19B"
"1985","DDX20"
"1986","DDX21"
"1987","DDX23"
"1988","DDX24"
"1989","DDX27"
"1990","DDX28"
"1991","DDX39A"
"1992","DDX39B"
"1993","DDX3X"
"1994","DDX41"
"1995","DDX47"
"1996","DDX49"
"1997","DDX5"
"1998","DDX50"
"1999","DDX51"
"2000","DDX54"
"2001","DDX55"
"2002","DDX56"
"2003","DDX58"
"2004","DDX6"
"2005","DDX60"
"2006","DEAF1"
"2007","DECR1"
"2008","DECR2"
"2009","DEDD"
"2010","DEDD2"
"2011","DEF6"
"2012","DEF8"
"2013","DEFB1"
"2014","DEGS1"
"2015","DEGS2"
"2016","DEK"
"2017","DELE1"
"2018","DENND10"
"2019","DENND1A"
"2020","DENND1C"
"2021","DENND2A"
"2022","DENND2B"
"2023","DENND3"
"2024","DENND4A"
"2025","DENND4C"
"2026","DENND5A"
"2027","DENND6B"
"2028","DENR"
"2029","DEPDC1B"
"2030","DEPDC5"
"2031","DEPDC7"
"2032","DEPP1"
"2033","DEPTOR"
"2034","DERA"
"2035","DERL1"
"2036","DERL2"
"2037","DERL3"
"2038","DES"
"2039","DESI1"
"2040","DESI2"
"2041","DET1"
"2042","DEXI"
"2043","DFFA"
"2044","DFFB"
"2045","DGAT1"
"2046","DGCR2"
"2047","DGCR6"
"2048","DGCR8"
"2049","DGKH"
"2050","DGKQ"
"2051","DGLUCY"
"2052","DGUOK"
"2053","DHCR24"
"2054","DHCR7"
"2055","DHDDS"
"2056","DHDH"
"2057","DHFR"
"2058","DHFR2"
"2059","DHPS"
"2060","DHRS1"
"2061","DHRS11"
"2062","DHRS12"
"2063","DHRS13"
"2064","DHRS3"
"2065","DHRS4"
"2066","DHRS4L2"
"2067","DHRS7"
"2068","DHRS7B"
"2069","DHRS9"
"2070","DHRSX"
"2071","DHTKD1"
"2072","DHX15"
"2073","DHX16"
"2074","DHX29"
"2075","DHX30"
"2076","DHX32"
"2077","DHX33"
"2078","DHX36"
"2079","DHX37"
"2080","DHX40"
"2081","DHX58"
"2082","DHX8"
"2083","DHX9"
"2084","DIABLO"
"2085","DIAPH1"
"2086","DIAPH3"
"2087","DIDO1"
"2088","DIMT1"
"2089","DIO2"
"2090","DIP2B"
"2091","DIP2C"
"2092","DIPK1A"
"2093","DIPK2A"
"2094","DIS3"
"2095","DIS3L"
"2096","DIS3L2"
"2097","DISP1"
"2098","DISP2"
"2099","DKC1"
"2100","DLAT"
"2101","DLC1"
"2102","DLD"
"2103","DLG1"
"2104","DLG3"
"2105","DLGAP5"
"2106","DLL1"
"2107","DLL4"
"2108","DLST"
"2109","DMAC1"
"2110","DMAC2"
"2111","DMAC2L"
"2112","DMAP1"
"2113","DMPK"
"2114","DMTF1"
"2115","DMTN"
"2116","DMWD"
"2117","DMXL2"
"2118","DNA2"
"2119","DNAJA1"
"2120","DNAJA2"
"2121","DNAJA3"
"2122","DNAJA4"
"2123","DNAJB1"
"2124","DNAJB11"
"2125","DNAJB12"
"2126","DNAJB14"
"2127","DNAJB2"
"2128","DNAJB6"
"2129","DNAJB9"
"2130","DNAJC1"
"2131","DNAJC10"
"2132","DNAJC11"
"2133","DNAJC12"
"2134","DNAJC13"
"2135","DNAJC15"
"2136","DNAJC16"
"2137","DNAJC17"
"2138","DNAJC18"
"2139","DNAJC19"
"2140","DNAJC21"
"2141","DNAJC25"
"2142","DNAJC3"
"2143","DNAJC5"
"2144","DNAJC7"
"2145","DNAJC8"
"2146","DNAJC9"
"2147","DNAL4"
"2148","DNALI1"
"2149","DNASE1L1"
"2150","DNASE2"
"2151","DNM1"
"2152","DNM1L"
"2153","DNM2"
"2154","DNMT1"
"2155","DNPEP"
"2156","DNPH1"
"2157","DNTTIP1"
"2158","DNTTIP2"
"2159","DOC2B"
"2160","DOCK11"
"2161","DOCK6"
"2162","DOCK7"
"2163","DOCK8"
"2164","DOCK9"
"2165","DOK2"
"2166","DOK3"
"2167","DOK4"
"2168","DOK7"
"2169","DOLK"
"2170","DOLPP1"
"2171","DONSON"
"2172","DOP1B"
"2173","DOT1L"
"2174","DPAGT1"
"2175","DPCD"
"2176","DPEP2"
"2177","DPF1"
"2178","DPF2"
"2179","DPH1"
"2180","DPH2"
"2181","DPH3"
"2182","DPH5"
"2183","DPH7"
"2184","DPM1"
"2185","DPM2"
"2186","DPM3"
"2187","DPP3"
"2188","DPP4"
"2189","DPP7"
"2190","DPP8"
"2191","DPP9"
"2192","DPY19L3"
"2193","DPY19L4"
"2194","DPY30"
"2195","DPYD"
"2196","DPYSL2"
"2197","DPYSL3"
"2198","DQX1"
"2199","DR1"
"2200","DRAM1"
"2201","DRAM2"
"2202","DRAP1"
"2203","DRG1"
"2204","DRG2"
"2205","DROSHA"
"2206","DSC2"
"2207","DSCC1"
"2208","DSG2"
"2209","DSN1"
"2210","DSP"
"2211","DSTN"
"2212","DTD1"
"2213","DTD2"
"2214","DTL"
"2215","DTNBP1"
"2216","DTWD2"
"2217","DTX1"
"2218","DTX2"
"2219","DTX3"
"2220","DTX3L"
"2221","DUOX2"
"2222","DUS1L"
"2223","DUS2"
"2224","DUS4L"
"2225","DUSP1"
"2226","DUSP10"
"2227","DUSP12"
"2228","DUSP16"
"2229","DUSP18"
"2230","DUSP2"
"2231","DUSP23"
"2232","DUSP26"
"2233","DUSP28"
"2234","DUSP3"
"2235","DUSP4"
"2236","DUSP5"
"2237","DUSP6"
"2238","DUSP7"
"2239","DUSP8"
"2240","DUT"
"2241","DVL2"
"2242","DVL3"
"2243","DXO"
"2244","DYM"
"2245","DYNC1H1"
"2246","DYNC1I2"
"2247","DYNC1LI2"
"2248","DYNC2I2"
"2249","DYNLL1"
"2250","DYNLL2"
"2251","DYNLRB1"
"2252","DYNLT1"
"2253","DYNLT2B"
"2254","DYNLT3"
"2255","DYRK1B"
"2256","DYRK2"
"2257","DYRK4"
"2258","DYSF"
"2259","DZIP1"
"2260","E2F1"
"2261","E2F2"
"2262","E2F3"
"2263","E2F4"
"2264","E2F6"
"2265","E2F8"
"2266","E4F1"
"2267","EAPP"
"2268","EBF1"
"2269","EBLN2"
"2270","EBNA1BP2"
"2271","EBP"
"2272","ECD"
"2273","ECE1"
"2274","ECE2"
"2275","ECH1"
"2276","ECHDC1"
"2277","ECHDC2"
"2278","ECHS1"
"2279","ECI1"
"2280","ECM1"
"2281","ECM2"
"2282","ECRG4"
"2283","ECSIT"
"2284","EDC3"
"2285","EDC4"
"2286","EDEM1"
"2287","EDEM2"
"2288","EDF1"
"2289","EDIL3"
"2290","EDN1"
"2291","EDNRA"
"2292","EDRF1"
"2293","EEA1"
"2294","EED"
"2295","EEF1A1"
"2296","EEF1A2"
"2297","EEF1AKMT1"
"2298","EEF1AKMT3"
"2299","EEF1AKNMT"
"2300","EEF1B2"
"2301","EEF1E1"
"2302","EEF1G"
"2303","EEF2"
"2304","EEF2K"
"2305","EEF2KMT"
"2306","EEFSEC"
"2307","EFCAB14"
"2308","EFCAB7"
"2309","EFEMP1"
"2310","EFEMP2"
"2311","EFHC1"
"2312","EFHD1"
"2313","EFHD2"
"2314","EFL1"
"2315","EFNA1"
"2316","EFNA3"
"2317","EFNA4"
"2318","EFNA5"
"2319","EFNB1"
"2320","EFNB2"
"2321","EFR3A"
"2322","EFS"
"2323","EFTUD2"
"2324","EGFL7"
"2325","EGFLAM"
"2326","EGFR"
"2327","EGLN1"
"2328","EGLN2"
"2329","EGLN3"
"2330","EGR1"
"2331","EHBP1"
"2332","EHD1"
"2333","EHD2"
"2334","EHD4"
"2335","EHHADH"
"2336","EHMT1"
"2337","EI24"
"2338","EID1"
"2339","EID2"
"2340","EIF1"
"2341","EIF1AD"
"2342","EIF1AX"
"2343","EIF1B"
"2344","EIF2A"
"2345","EIF2AK2"
"2346","EIF2AK4"
"2347","EIF2B1"
"2348","EIF2B2"
"2349","EIF2B4"
"2350","EIF2B5"
"2351","EIF2D"
"2352","EIF2S1"
"2353","EIF2S2"
"2354","EIF2S3"
"2355","EIF3A"
"2356","EIF3B"
"2357","EIF3C"
"2358","EIF3D"
"2359","EIF3E"
"2360","EIF3F"
"2361","EIF3G"
"2362","EIF3H"
"2363","EIF3I"
"2364","EIF3J"
"2365","EIF3K"
"2366","EIF3L"
"2367","EIF3M"
"2368","EIF4A1"
"2369","EIF4A2"
"2370","EIF4A3"
"2371","EIF4B"
"2372","EIF4E2"
"2373","EIF4E3"
"2374","EIF4EBP1"
"2375","EIF4EBP2"
"2376","EIF4ENIF1"
"2377","EIF4G2"
"2378","EIF4G3"
"2379","EIF4H"
"2380","EIF5A"
"2381","EIF5B"
"2382","EIPR1"
"2383","ELAC1"
"2384","ELAC2"
"2385","ELAPOR1"
"2386","ELAPOR2"
"2387","ELAVL1"
"2388","ELF1"
"2389","ELF2"
"2390","ELF3"
"2391","ELF4"
"2392","ELK1"
"2393","ELK3"
"2394","ELK4"
"2395","ELL"
"2396","ELMO1"
"2397","ELMO2"
"2398","ELMO3"
"2399","ELMOD2"
"2400","ELMOD3"
"2401","ELOB"
"2402","ELOC"
"2403","ELOF1"
"2404","ELOVL1"
"2405","ELOVL5"
"2406","ELOVL6"
"2407","ELOVL7"
"2408","ELP1"
"2409","ELP2"
"2410","ELP3"
"2411","ELP4"
"2412","ELP5"
"2413","ELP6"
"2414","EMC1"
"2415","EMC4"
"2416","EMC6"
"2417","EMC7"
"2418","EMC8"
"2419","EMC9"
"2420","EMCN"
"2421","EMD"
"2422","EME1"
"2423","EME2"
"2424","EMG1"
"2425","EMID1"
"2426","EMILIN1"
"2427","EMILIN2"
"2428","EML3"
"2429","EML4"
"2430","EMP1"
"2431","EMP3"
"2432","ENAH"
"2433","ENC1"
"2434","ENDOG"
"2435","ENDOV"
"2436","ENG"
"2437","ENGASE"
"2438","ENHO"
"2439","ENKD1"
"2440","ENO1"
"2441","ENO2"
"2442","ENOPH1"
"2443","ENOSF1"
"2444","ENPEP"
"2445","ENPP2"
"2446","ENPP4"
"2447","ENSA"
"2448","ENTPD1"
"2449","ENTPD4"
"2450","ENTPD5"
"2451","ENTPD6"
"2452","ENTPD7"
"2453","ENTR1"
"2454","ENY2"
"2455","EOGT"
"2456","EOLA1"
"2457","EOLA2"
"2458","EOMES"
"2459","EP300"
"2460","EP400"
"2461","EPAS1"
"2462","EPB41L2"
"2463","EPB41L3"
"2464","EPB41L4B"
"2465","EPC1"
"2466","EPCAM"
"2467","EPDR1"
"2468","EPHA2"
"2469","EPHB2"
"2470","EPHB3"
"2471","EPHB4"
"2472","EPHB6"
"2473","EPHX1"
"2474","EPHX2"
"2475","EPM2A"
"2476","EPM2AIP1"
"2477","EPN1"
"2478","EPN3"
"2479","EPOR"
"2480","EPRS1"
"2481","EPS15"
"2482","EPS8L2"
"2483","EPSTI1"
"2484","ERAL1"
"2485","ERAP1"
"2486","ERAP2"
"2487","ERBB2"
"2488","ERBB3"
"2489","ERBIN"
"2490","ERCC1"
"2491","ERCC2"
"2492","ERCC3"
"2493","ERCC4"
"2494","ERCC5"
"2495","ERCC6"
"2496","ERF"
"2497","ERG"
"2498","ERGIC1"
"2499","ERGIC2"
"2500","ERGIC3"
"2501","ERH"
"2502","ERI1"
"2503","ERICH1"
"2504","ERLEC1"
"2505","ERLIN1"
"2506","ERLIN2"
"2507","ERMAP"
"2508","ERMP1"
"2509","ERN1"
"2510","ERN2"
"2511","ERO1A"
"2512","ERO1B"
"2513","ERP27"
"2514","ERP29"
"2515","ERP44"
"2516","ERRFI1"
"2517","ESAM"
"2518","ESD"
"2519","ESF1"
"2520","ESM1"
"2521","ESPL1"
"2522","ESPNL"
"2523","ESRP2"
"2524","ESRRA"
"2525","ESS2"
"2526","ESYT1"
"2527","ESYT2"
"2528","ETAA1"
"2529","ETF1"
"2530","ETFA"
"2531","ETFDH"
"2532","ETFRF1"
"2533","ETHE1"
"2534","ETNK1"
"2535","ETS1"
"2536","ETS2"
"2537","ETV3"
"2538","ETV4"
"2539","ETV5"
"2540","ETV6"
"2541","EVA1B"
"2542","EVA1C"
"2543","EVC"
"2544","EVI2B"
"2545","EVL"
"2546","EVPL"
"2547","EWSR1"
"2548","EXD2"
"2549","EXD3"
"2550","EXO1"
"2551","EXOC1"
"2552","EXOC2"
"2553","EXOC3"
"2554","EXOC3L2"
"2555","EXOC4"
"2556","EXOC5"
"2557","EXOC6"
"2558","EXOC7"
"2559","EXOG"
"2560","EXOSC1"
"2561","EXOSC10"
"2562","EXOSC2"
"2563","EXOSC3"
"2564","EXOSC4"
"2565","EXOSC5"
"2566","EXOSC6"
"2567","EXOSC7"
"2568","EXOSC8"
"2569","EXOSC9"
"2570","EXPH5"
"2571","EXT1"
"2572","EXTL2"
"2573","EXTL3"
"2574","EZH1"
"2575","EZH2"
"2576","EZR"
"2577","F10"
"2578","F11R"
"2579","F12"
"2580","F2R"
"2581","F2RL1"
"2582","F3"
"2583","F5"
"2584","F8A1"
"2585","FA2H"
"2586","FAAH"
"2587","FAAP100"
"2588","FABP4"
"2589","FADD"
"2590","FADS1"
"2591","FADS2"
"2592","FADS3"
"2593","FAF1"
"2594","FAF2"
"2595","FAH"
"2596","FAHD1"
"2597","FAHD2A"
"2598","FAM102A"
"2599","FAM104A"
"2600","FAM104B"
"2601","FAM107A"
"2602","FAM107B"
"2603","FAM110A"
"2604","FAM110D"
"2605","FAM111A"
"2606","FAM111B"
"2607","FAM114A1"
"2608","FAM114A2"
"2609","FAM117A"
"2610","FAM117B"
"2611","FAM118A"
"2612","FAM118B"
"2613","FAM120A"
"2614","FAM120B"
"2615","FAM122B"
"2616","FAM131A"
"2617","FAM133B"
"2618","FAM136A"
"2619","FAM13A"
"2620","FAM13B"
"2621","FAM149A"
"2622","FAM156A"
"2623","FAM160A2"
"2624","FAM160B1"
"2625","FAM160B2"
"2626","FAM162A"
"2627","FAM167A"
"2628","FAM167B"
"2629","FAM168B"
"2630","FAM171A1"
"2631","FAM172A"
"2632","FAM174B"
"2633","FAM174C"
"2634","FAM177A1"
"2635","FAM189A2"
"2636","FAM193A"
"2637","FAM199X"
"2638","FAM207A"
"2639","FAM20B"
"2640","FAM20C"
"2641","FAM210A"
"2642","FAM210B"
"2643","FAM214A"
"2644","FAM214B"
"2645","FAM216A"
"2646","FAM219A"
"2647","FAM219B"
"2648","FAM220A"
"2649","FAM222A"
"2650","FAM222B"
"2651","FAM229B"
"2652","FAM234A"
"2653","FAM241B"
"2654","FAM24B"
"2655","FAM3A"
"2656","FAM3C"
"2657","FAM3D"
"2658","FAM43A"
"2659","FAM50A"
"2660","FAM50B"
